G47,G48,G36,G755,G40,G733,G781,G753,G756,G720,G746,G744,G764,G716,G758,G760,G748,G717,G763,G778,G34,G728,G718,G780,G727,G37,G757,G722,G747,G538,G732,G729,G761,G762,G724,G726,G731,G759,G719,G723,G715,G552,G713,G745,G736,G725
6.8087,7.5742,7.1378,8.599,6.9864,7.3385,6.786,6.7806,6.6135,6.9953,6.6527,5.3205,7.6214,6.0542,7.9927,7.8779,7.4881,6.4992,7.564,7.1881,7.7589,8.121,6.7032,7.0527,7.0908,8.279,7.5189,6.5356,7.4325,6.5407,5.863,9.106,7.5625,6.4375,6.5273,7.6766,7.6457,6.8684,6.8373,6.8737,7.174,8.3599,9.3028,7.3223,5.8095,8.9921
6.9084,7.5658,7.0583,8.2074,6.9483,7.5031,6.9871,6.8847,6.4804,6.7695,6.6862,5.2765,7.8216,6.1883,7.9775,7.9599,7.5308,6.5305,7.7639,7.1886,7.8556,8.2017,6.6908,7.1826,7.2937,8.3787,7.6348,6.6352,7.4223,6.616,5.994,9.0956,7.5857,6.2763,6.6609,7.7908,7.7319,6.8809,6.831,6.957,7.3244,7.8403,9.1199,7.4367,5.7839,8.8083
6.6714,7.2013,7.0149,7.8552,6.7852,7.1174,6.5034,6.3669,6.3352,6.3554,6.5345,5.1367,7.0702,6.1562,7.4172,7.3703,7.1248,6.5065,7.0996,7.2075,7.4785,7.7089,6.4334,6.9677,6.7447,8.0497,7.2749,6.1009,7.0809,5.874,5.8122,8.5675,7.1139,6.0451,6.38,7.1479,7.0558,6.586,6.6043,6.7593,7.1442,8.3727,8.8182,6.9276,6.0384,8.6144
6.792,10.744,11.018,8.3177,10.254,13.024,10.62,11.297,8.6416,8.6866,10.611,5.9493,10.979,9.9693,9.9154,10.191,8.2436,7.5412,8.6727,9.599,8.4648,9.5461,7.6658,11.055,8.3319,11.077,10.093,8.2092,8.1725,6.991,6.2863,10.222,10.245,9.1375,8.2698,8.6544,8.1355,10.151,8.1637,9.8086,10.118,7.8304,11.694,8.4444,9.9834,9.061
6.5598,10.913,11.146,8.6951,10.325,13.223,10.695,11.222,8.8665,8.7488,10.752,5.772,11.2,9.8741,9.9323,10.164,8.4421,7.9839,8.9506,10.0,8.3405,9.5318,7.9363,11.23,8.3348,10.975,10.184,8.3395,8.3657,7.1932,6.419,10.278,10.349,9.4412,8.347,8.779,8.2629,10.23,8.1158,9.1358,9.9149,7.9112,11.749,8.1066,10.325,9.2948
6.7054,11.019,11.223,8.3736,10.478,13.357,10.855,11.665,9.5416,9.1825,10.976,5.8457,11.524,11.079,10.49,10.863,8.6061,8.2519,8.8608,10.252,8.4559,9.8369,8.1879,11.481,8.7512,11.511,10.724,8.8181,8.646,7.3546,6.5165,10.635,10.719,9.8449,8.4861,8.965,8.4471,10.952,9.0416,10.177,10.757,7.8069,11.479,8.5545,10.511,9.5541
6.7916,11.194,11.339,8.2575,10.699,13.439,10.944,11.871,9.8806,9.5622,11.229,5.9156,11.886,11.133,10.903,11.282,8.8828,8.7136,9.2616,10.434,8.6613,10.437,8.6098,11.546,9.1838,11.778,11.167,9.2037,8.9112,7.3407,6.5101,11.178,11.237,10.261,8.9705,9.4412,8.7706,11.442,9.3035,10.687,11.009,7.3039,11.404,8.7024,10.74,9.7746
6.499,12.446,11.751,8.0141,9.9992,13.989,10.271,11.62,9.9804,10.22,10.994,5.8245,11.888,11.635,11.125,11.908,8.9932,8.9445,10.482,10.447,8.9761,10.582,8.7543,11.782,9.3663,12.705,11.485,9.8263,8.6774,7.1314,6.173,10.563,11.923,11.186,9.2032,9.3775,9.1584,11.751,8.9994,10.94,11.692,7.7341,11.895,10.41,11.287,10.234
6.6043,12.27,11.636,8.2238,9.8425,13.834,10.382,11.543,10.044,10.322,10.907,6.0653,11.866,11.472,11.275,12.068,8.9196,8.9055,10.683,10.161,8.9414,10.557,8.6051,11.679,9.3793,12.556,11.75,9.8429,8.7437,7.3408,6.4677,10.803,12.13,11.248,9.269,9.3835,9.352,11.896,9.0458,10.998,11.45,7.5789,11.841,10.292,11.287,10.085
6.8344,10.415,9.4487,8.6245,8.5065,12.959,9.206,9.1037,7.5215,7.4999,9.5798,5.6783,10.086,9.6989,8.5868,8.5513,8.2609,7.081,8.2142,8.8154,8.3606,8.0394,7.4816,9.5918,7.4917,11.12,8.2676,6.8247,7.8179,7.2685,6.0245,9.3771,8.1845,7.2075,7.162,7.9073,7.8952,7.7543,7.0441,7.2507,10.506,8.4221,10.68,7.9324,8.076,10.361
6.7713,10.787,9.6826,8.8909,8.5853,13.18,9.325,9.4186,7.4529,7.3265,9.7748,5.654,10.365,10.109,8.4795,8.464,8.041,7.3045,8.2354,8.8752,8.184,8.3994,7.3088,9.9539,7.6285,11.302,8.3394,6.9217,7.6883,7.3306,6.2855,9.5222,8.1185,7.0604,7.2631,7.9823,8.2668,7.6955,7.1877,7.474,10.746,8.4808,10.887,8.0487,8.4716,10.672
6.6634,11.613,11.802,8.648,11.192,13.546,10.825,11.937,10.586,10.395,11.277,6.3104,12.149,11.167,11.801,12.024,9.9239,9.7314,10.705,10.306,9.197,10.951,9.6797,11.905,9.8333,11.537,11.99,10.16,9.7795,7.2918,6.952,11.984,11.876,11.553,9.5786,10.174,9.703,12.101,10.44,11.59,11.073,7.2182,11.36,10.038,10.871,7.9607
6.4379,11.842,11.634,7.9729,11.091,13.485,10.746,11.997,10.244,10.426,11.123,6.3435,12.054,11.208,11.573,11.999,9.7371,9.5577,10.785,10.258,9.2036,11.113,9.4539,11.93,9.9053,11.616,11.707,10.054,9.4615,7.1398,6.8894,11.983,11.959,11.359,9.4825,10.227,9.8078,11.789,10.272,11.477,11.08,7.3113,11.519,10.204,10.75,8.1667
6.5373,12.087,11.71,8.0434,10.39,13.848,10.427,11.413,10.307,10.629,10.629,5.774,11.956,11.461,11.669,12.287,9.0401,9.4825,10.717,10.518,8.8889,10.689,9.0341,11.897,9.6288,12.372,11.547,10.245,8.8522,7.3253,6.9876,10.964,12.137,11.568,9.1078,9.3682,9.8274,12.052,9.8486,11.282,11.284,7.3405,11.553,10.527,10.825,9.9696
6.8863,11.988,11.8,7.8534,10.168,13.889,10.337,11.604,10.306,10.653,10.614,5.4377,11.932,11.453,11.744,12.353,9.0323,9.5847,10.935,10.444,8.8915,10.742,8.6516,11.7,9.5786,12.181,12.235,10.322,8.6597,7.2814,6.4818,11.2,12.271,11.364,9.3372,9.4074,9.8479,12.054,9.4732,11.035,11.396,7.3017,11.441,10.465,10.666,9.7279
7.0566,8.5914,8.2007,7.977,8.1983,9.3824,7.8975,8.3594,7.6917,8.0345,7.6823,6.1769,8.7504,6.5222,9.2114,8.5626,8.6456,7.558,8.5348,7.8594,8.8114,8.8847,7.9381,8.2171,8.3112,9.5501,8.7993,7.3705,8.1882,7.9162,6.2877,10.036,8.4727,7.3657,7.5581,8.4489,8.8842,8.0776,7.5174,7.6974,8.151,7.4277,11.129,7.7351,6.8279,8.658
7.0597,8.2902,7.981,7.5464,7.8682,9.7631,7.6882,8.3341,7.6599,7.9737,7.6482,5.6089,8.6541,6.7757,9.0859,8.6819,8.2077,7.888,8.4207,8.0366,8.5916,8.7056,8.0313,8.152,8.1657,9.5474,8.6448,7.3419,7.8209,7.9389,6.5274,9.9496,8.3341,7.0536,7.8068,8.4689,8.8146,7.9112,7.7216,7.5938,8.187,7.512,10.752,7.6667,6.5864,8.4571
6.8038,7.2897,7.1823,8.3255,7.0043,7.3325,7.0317,6.5564,6.5055,6.7466,6.5621,5.3162,7.7378,6.2055,7.8648,7.8288,7.464,6.6372,7.7698,7.3437,7.8735,8.0822,6.5827,7.2302,7.0553,8.3923,7.5677,6.5674,7.43,6.4442,6.017,9.0846,7.4088,6.2744,6.5929,7.5054,7.6641,6.7846,6.7636,6.7877,7.3323,7.8638,9.1931,7.2554,5.9436,9.1058
6.7561,7.6102,7.1467,7.8317,7.224,7.1895,6.6772,6.6578,6.3361,6.9769,6.3321,5.6739,7.8739,5.9176,8.0434,7.7597,7.6732,6.5393,7.8691,7.3391,8.0607,8.2284,7.1303,7.2176,7.3545,8.3495,7.4481,6.736,7.59,6.5727,5.5278,8.9635,7.4401,6.2023,6.8863,7.74,7.5955,6.8243,6.9118,7.1263,7.6185,7.81,9.2791,7.0852,5.9186,8.9875
6.8764,7.308,6.9483,8.3585,6.8632,7.2747,6.6151,6.5868,6.3351,6.8344,6.4555,5.3033,7.5596,5.9612,7.822,7.7556,7.398,6.5086,7.5032,7.1394,7.6192,8.1629,6.5032,7.0116,6.9523,8.0595,7.3978,6.5203,7.2824,6.4069,6.0959,9.0596,7.4117,6.2662,6.4623,7.5732,7.5324,6.6796,6.7378,6.7488,6.9992,7.57,9.1722,7.2445,5.7462,9.2001
7.0994,7.7662,7.4078,8.8424,7.4726,7.5728,7.1042,7.4502,6.9835,7.3589,7.0676,6.102,8.3637,6.6043,8.5189,8.2916,7.8111,7.0038,8.2821,7.5104,7.9138,8.5762,7.0136,7.6571,7.6047,8.2583,8.0269,7.1507,7.7344,6.9312,6.3952,9.5773,8.3028,7.2167,6.862,8.132,8.1835,7.6162,7.0342,7.6017,7.8663,9.5526,9.2799,8.0125,6.5415,9.0249
6.9299,7.7428,7.3678,8.7066,7.5248,7.4323,7.1735,7.3289,6.9795,7.3898,6.9921,5.8362,8.3042,6.4881,8.5985,8.4913,7.7729,6.8236,8.245,7.4889,7.8347,8.6016,6.8991,7.5911,7.5456,8.1599,8.0141,7.2199,7.6519,6.8853,6.2381,9.6415,8.278,7.3228,7.0439,8.164,8.0369,7.7006,7.1267,7.7751,7.7018,10.144,9.1612,7.9945,6.5463,9.0876
6.9938,7.8535,7.4233,8.6511,7.3632,7.4322,7.3309,7.2946,7.0842,7.517,6.9879,5.939,8.3588,6.5073,8.6103,8.4492,7.7643,6.8379,8.2312,7.5056,7.9046,8.57,6.8989,7.5661,7.4739,8.2172,8.1131,7.1173,7.6253,6.6906,6.1467,9.608,8.4234,7.3493,7.065,8.0999,8.2249,7.7574,7.0927,7.7113,7.7456,10.065,9.3958,8.0014,6.5435,9.0532
7.0177,8.0051,7.4919,8.8815,7.4868,7.4953,7.2956,7.5871,7.1922,7.5127,7.0307,5.5508,8.3789,6.5964,8.7025,8.4748,7.7291,6.8887,8.3683,7.5009,7.9142,8.5467,6.9087,7.7602,7.6649,8.2717,7.9777,7.2273,7.6593,7.0236,6.2178,9.6246,8.3282,7.3624,6.9243,8.2391,8.3794,7.7702,6.9585,7.7419,7.8403,9.7943,9.1485,7.9527,6.4154,8.9054
7.0904,7.9023,7.6349,8.6019,7.5163,7.5361,7.4973,7.5027,7.2602,7.5388,7.1764,5.9772,8.3852,6.7068,8.7205,8.468,7.9045,6.8627,8.2991,7.7277,8.0676,8.6984,7.0087,7.7312,7.6645,8.3386,8.1156,7.3736,7.7318,7.1779,6.4849,9.6586,8.3388,7.4814,6.9951,8.1597,8.3709,7.9101,6.904,7.7706,7.9493,10.164,9.3465,8.2636,6.6671,9.0297
6.6444,7.8291,7.3501,8.6673,7.4119,7.3977,7.3349,7.4504,7.0445,7.3578,6.8503,5.8217,8.3959,6.5601,8.6668,8.5506,7.7594,6.8052,8.2968,7.5335,7.8613,8.5675,6.996,7.5949,7.4707,8.1756,8.0911,7.1834,7.569,6.9253,6.3471,9.6082,8.4964,7.5399,7.1177,8.069,8.113,7.8357,6.9421,7.8002,7.7658,10.016,9.1939,8.072,6.4505,9.0767
6.7826,7.3928,7.2649,8.2073,6.9573,7.3319,6.7255,6.4507,6.4514,6.7031,6.6013,5.1879,7.4131,6.2771,7.7453,7.7304,7.4294,6.5576,7.454,7.3604,7.8266,7.8846,6.481,7.1059,6.9074,8.1676,7.5112,6.3506,7.3605,6.2817,5.9267,9.0274,7.3711,6.3556,6.4813,7.3244,7.5125,6.8758,6.7984,6.8004,7.2152,8.0908,9.2068,7.3298,5.9015,8.8673
7.0724,7.4152,7.2334,7.4263,6.7049,7.3703,6.836,6.7821,6.4245,6.3013,6.2552,5.0178,7.2771,6.2415,7.8251,7.3754,7.3321,6.5861,7.1676,7.1702,7.8149,7.8102,6.2613,7.1969,6.4465,7.933,7.5646,5.98,7.2152,6.39,5.7031,8.9043,6.8369,6.2049,6.268,6.4029,7.6585,6.6342,6.287,6.5319,7.0526,7.8793,8.9305,7.4476,5.8338,8.8382
7.0681,7.17,7.0471,8.0704,6.6851,7.1443,6.4467,6.4119,6.055,6.6434,6.608,4.9989,7.1314,6.1426,7.58,7.438,7.1994,6.5686,7.0545,7.0362,7.4744,8.0336,6.4954,6.9067,6.8041,7.9252,7.1158,6.1643,7.1164,6.3658,5.8943,8.8243,7.0873,6.0707,6.5265,7.2411,7.3515,6.5677,6.6518,6.807,6.9786,8.3213,8.7457,6.93,5.8292,9.0601
6.9256,7.0495,7.0547,8.102,6.7256,7.2012,6.5604,6.3999,6.1756,6.503,6.3884,5.1781,7.1761,6.0027,7.6022,7.5163,7.2987,6.4782,7.2685,7.1127,7.5365,7.9017,6.4162,6.7692,6.7071,7.9545,7.23,6.1623,7.1667,6.3018,5.6268,8.7678,7.1644,6.1157,6.4033,7.2029,7.3129,6.5892,6.6138,6.6459,6.942,7.7729,8.9079,7.0766,5.7633,9.1243
6.7766,7.633,7.3376,8.1767,7.1283,7.3982,7.051,6.7517,6.618,6.7422,6.7713,5.3644,7.6283,6.1156,8.088,7.9227,7.3802,6.4747,7.5215,7.3909,7.8749,7.934,6.6886,7.2419,7.162,8.3684,7.5476,6.5981,7.4542,6.5144,6.1675,9.1062,7.5609,6.5476,6.6363,7.7184,7.5659,6.9131,6.9045,6.823,7.4423,7.712,9.2642,7.4959,5.746,8.7824
7.0213,7.165,6.903,8.1259,6.5832,7.0562,6.46,6.4828,6.2682,6.5111,6.3305,5.1862,7.0512,5.9536,7.7062,7.4672,7.1472,6.5199,7.2629,6.9124,7.516,7.9483,6.376,6.884,6.7572,7.9979,7.319,6.194,7.0738,6.1691,5.7648,8.9177,7.1752,6.1159,6.0133,7.2324,7.4121,6.597,6.5771,6.6015,7.0174,8.395,8.849,7.0214,5.683,8.953
6.7448,7.5126,7.4256,7.661,6.9428,7.4441,6.8221,6.4899,6.4531,6.7327,6.4563,4.9844,7.2394,6.3563,7.5192,7.467,7.2721,6.6817,7.2718,7.2881,7.8226,7.9816,6.3889,7.0493,6.902,8.098,7.385,6.4191,7.2983,6.4572,5.814,8.8188,6.9109,6.1416,6.4923,7.3741,7.5001,6.7162,6.7303,6.725,7.3137,8.3328,9.111,7.4766,5.9365,8.9195
6.9781,7.4532,7.1838,8.4451,7.1353,7.6292,6.9809,6.8592,6.5974,6.8465,6.846,5.5094,7.8692,6.3094,7.9751,7.8129,7.5773,6.7479,7.6794,7.3336,7.9193,8.052,6.9384,7.2447,6.9156,8.3542,7.6293,6.4784,7.3952,6.6018,5.9894,8.9869,7.4253,6.4148,6.6918,7.4586,7.5405,6.978,6.7846,6.7296,7.5753,7.7895,9.4019,7.6855,5.9424,9.0164
6.8715,7.2479,7.2167,8.0232,6.7778,7.3372,6.6449,6.4279,6.4036,6.5854,6.4525,5.041,6.7306,6.192,7.605,7.6011,7.2641,6.6363,6.9397,7.1669,7.6128,7.8582,6.4133,6.9981,6.7576,8.2248,7.4277,6.2719,7.0379,6.0947,5.6838,8.6651,7.0205,6.055,6.404,7.0412,7.257,6.8018,6.6374,6.7126,7.2205,8.437,8.9245,6.9339,5.915,8.9976
6.9898,11.962,11.209,8.5381,10.053,13.204,10.333,11.196,10.015,10.199,10.333,5.7961,12.048,10.718,11.06,11.623,9.2606,9.4986,10.869,10.2,9.1419,10.732,9.5394,11.139,9.5153,11.464,11.336,9.7653,9.1289,7.4061,6.2799,11.547,11.884,11.798,9.5766,9.9604,10.613,11.697,9.0438,10.952,10.634,7.3074,11.68,9.7024,11.273,10.379
6.8227,11.952,10.81,8.4965,9.7867,13.289,10.259,11.236,9.6729,9.8832,10.352,5.897,11.776,10.598,10.793,11.549,8.9389,9.3446,10.704,10.224,9.1617,10.517,9.3019,11.018,9.4473,11.731,11.155,9.4708,8.9666,7.5518,6.6231,11.704,11.767,11.382,9.266,9.7961,10.31,11.387,8.9587,10.963,10.564,7.542,11.359,9.6523,10.993,10.134
6.933,11.517,10.663,8.4678,9.8853,12.829,10.217,11.037,9.6899,9.7563,10.086,5.6697,11.564,10.025,10.623,10.992,9.2162,9.3766,10.445,9.6324,9.0661,10.575,9.3709,10.86,8.8555,11.372,11.014,9.5331,8.9216,7.4722,6.3895,11.743,11.504,11.742,9.3721,9.8273,10.393,10.878,8.7256,10.996,10.307,7.6706,11.061,9.5202,10.939,10.211
7.2921,8.3156,7.7675,8.3073,8.1811,11.4,7.9463,8.0815,7.4287,7.9702,7.2697,5.9396,8.7147,6.8551,8.9204,8.6011,8.1764,7.1052,8.6827,8.2024,8.561,8.9902,7.5423,8.2545,8.1011,9.2148,8.4125,7.4537,8.3198,7.9905,6.3752,10.181,8.3638,7.387,7.4608,8.2743,8.9587,8.0105,6.8093,7.6305,8.2593,7.849,10.172,8.22,7.0351,8.8402
6.8296,7.9244,8.1025,8.6634,8.0798,11.249,7.7797,7.8982,7.098,7.3937,7.2672,5.6542,8.8043,6.7032,8.8223,8.5011,8.3018,6.9601,8.4784,8.0093,8.4995,8.8967,7.2728,7.9503,8.1914,9.1433,7.99,7.2984,8.1756,7.7117,6.4426,10.152,8.4267,7.3132,7.4182,8.612,8.836,7.6745,7.1033,7.6033,7.9582,7.7752,10.325,8.0404,7.1008,8.6126
7.2408,8.1909,8.1297,7.9328,8.377,8.4447,8.1687,7.9398,7.8325,8.1948,7.3535,6.0147,8.6423,6.6328,9.0932,8.7537,8.3608,6.8608,9.0169,8.1344,8.8827,9.3312,7.8372,8.1609,8.4341,9.5216,8.562,7.6634,8.2803,8.0253,6.712,10.641,8.5097,7.3077,7.4141,8.8102,9.5644,7.9562,7.3041,7.7197,8.5681,8.172,10.328,8.2414,6.9228,8.8307
6.3456,7.6081,7.3347,8.2024,7.2247,7.5623,7.0884,6.8152,6.5541,7.0088,6.6825,5.4585,7.5431,6.2079,7.9352,7.7576,7.5382,6.6918,7.4203,7.3564,7.913,8.2082,6.8369,7.2528,7.2268,8.3093,7.6113,6.7629,7.5375,6.6013,5.7356,8.9946,7.4866,6.4519,6.7909,7.8692,7.5563,6.7496,7.0043,7.0988,7.3557,7.6174,9.4967,7.3858,5.7839,9.2507
6.6377,7.2928,7.2179,8.2648,7.0221,7.5959,6.809,6.6725,6.5334,6.5986,6.6605,5.477,7.6612,6.1117,7.8431,7.6541,7.2353,6.4582,7.4737,7.1803,7.7595,8.0435,6.4643,7.0551,6.9711,8.1943,7.509,6.4131,7.2902,6.53,5.9816,8.9615,7.217,6.2712,6.4048,7.5152,7.3662,6.8165,6.7381,6.7411,7.1802,7.8671,9.3872,7.5177,5.8053,9.4199
6.7442,7.096,7.1374,7.8689,6.7419,7.3581,6.5237,6.2857,6.2621,6.6555,6.2836,5.0604,7.4894,5.8735,7.5617,7.3149,7.1744,6.4152,7.4436,7.1062,7.651,7.9393,6.4765,6.8589,7.0094,8.068,7.1854,6.2673,7.1452,6.0675,5.6306,8.6865,7.196,6.1273,6.3912,7.4431,7.4929,6.5725,6.6551,6.4443,7.0704,8.0206,9.0363,7.1369,5.6756,8.545
7.0498,7.3713,7.1545,8.2216,6.6977,7.1245,6.6559,6.5599,6.3407,6.5403,6.4458,4.9469,7.2623,6.0922,7.6309,7.6183,7.2301,6.3841,7.2356,7.2058,7.685,7.7802,6.3225,6.946,6.7545,8.0105,7.446,6.3201,7.2008,6.0538,5.7778,8.7404,7.1424,6.1863,6.463,7.1773,7.293,6.6847,6.6973,6.4834,7.1319,7.9063,8.9687,7.1697,5.8921,8.4637
7.046,7.3595,7.212,8.373,6.7248,7.4293,6.5005,6.6438,6.395,6.6306,6.404,5.0162,7.4719,6.1175,7.765,7.6826,7.3475,6.6634,7.414,7.14,7.5626,7.9881,6.4925,6.9582,6.7901,8.1754,7.3446,6.2252,7.2391,6.3639,5.7496,8.8772,7.2626,6.3767,6.4536,7.43,7.3802,6.798,6.6483,6.7256,7.1692,8.7963,9.0702,7.0671,5.8395,8.7497
7.2665,7.0745,6.94,8.4587,6.655,6.9732,6.6039,6.5903,6.275,6.5152,6.5303,5.115,7.1339,6.0268,7.5695,7.6011,7.1923,6.5857,7.3868,7.0381,7.5617,8.0938,6.5526,7.0423,6.9592,8.0974,7.2818,6.2327,7.1427,6.3267,5.82,8.8653,7.1134,6.1698,6.5391,7.4535,7.5639,6.5701,6.7976,6.8119,7.0145,8.5639,9.0225,6.8718,5.9031,8.5901
6.7658,7.4851,7.2629,8.4966,7.0751,7.4266,7.0506,6.6698,6.6129,6.7912,6.7513,5.356,7.6843,6.1327,8.0956,7.9287,7.5605,6.5368,7.6658,7.362,7.8658,8.0173,6.7452,7.3314,7.0429,8.2576,7.533,6.63,7.5753,6.6017,5.8944,9.1274,7.7832,6.6586,6.4759,7.6386,7.6923,7.0016,6.853,6.7893,7.4046,8.5396,9.2244,7.3232,5.6304,8.6256
6.9751,7.3539,7.1407,8.3961,6.8237,7.1856,6.6774,6.6495,6.4369,6.723,6.5121,4.9391,7.3308,6.0756,7.8606,7.7331,7.3072,6.6142,7.3641,7.145,7.7185,7.9739,6.6566,7.1064,6.9716,8.0716,7.4126,6.4055,7.2822,6.2761,5.7081,8.8388,7.2884,6.2742,6.5361,7.4003,7.4528,6.7644,6.7886,6.8521,7.1167,8.935,9.1212,7.1632,5.8915,8.5727
7.2484,7.3885,7.0232,8.2249,6.9499,7.2592,6.7809,6.8739,6.5739,6.7437,6.7405,5.2119,7.4034,6.0876,8.11,7.7962,7.3323,6.6211,7.4038,7.2674,7.6917,8.0215,6.7861,7.1979,6.8644,8.0804,7.5089,6.4115,7.3205,6.5251,6.2884,9.1184,7.4667,6.2191,6.5759,7.49,7.7545,6.9229,6.9322,7.0351,7.1783,8.3079,8.992,7.2761,5.8505,8.3425
7.0857,7.0414,6.9289,8.3431,6.453,6.9925,6.2213,6.3287,6.0663,6.4913,6.2278,4.9307,7.0666,5.9935,7.4547,7.3468,7.0858,6.6287,7.0089,6.9671,7.3886,7.797,6.3733,6.7035,6.6184,7.8528,7.1044,6.0243,7.0817,6.0025,5.5267,8.6347,6.9451,6.0044,6.2683,7.276,7.1849,6.4652,6.5904,6.658,6.932,8.1598,8.6547,6.831,5.8791,8.4623
7.4703,7.387,7.1976,8.3911,6.7925,7.1346,6.684,6.714,6.5962,6.6063,6.8275,5.1717,7.3195,6.3432,7.7382,7.5124,7.391,6.6946,7.3115,7.3342,7.7443,7.9311,6.5875,7.2212,6.7541,8.1227,7.4178,6.3873,7.2384,6.1387,5.987,8.8313,7.2371,6.2339,6.4166,7.2516,7.1614,6.8263,6.715,6.8024,7.3046,8.5253,8.8773,7.1006,6.216,8.5754
6.9064,12.021,10.755,8.184,10.385,13.114,10.409,11.375,9.7755,9.9771,9.8639,6.1903,12.068,11.072,11.213,11.871,9.0761,9.2605,10.609,10.066,9.2054,10.719,9.1887,11.137,9.2024,11.844,11.365,9.6523,9.0762,7.523,6.5721,11.494,12.049,11.797,9.4783,9.8335,10.496,11.578,8.8597,10.826,10.439,7.4901,11.407,9.3464,10.981,10.083
6.9915,12.08,10.888,8.5176,10.579,13.273,10.478,11.479,9.8762,10.175,10.092,6.086,12.307,11.214,11.403,12.117,9.2266,9.2391,10.991,10.2,9.2247,10.72,9.1948,11.319,9.312,11.897,11.585,9.8015,9.1339,7.7346,6.6469,11.646,12.158,11.864,9.4483,9.7607,10.309,11.877,8.9409,11.198,10.998,7.3475,11.467,9.5497,11.197,10.092
6.9119,11.548,10.128,8.3661,9.9741,12.867,10.22,10.962,9.3834,9.6637,9.7302,5.7132,11.158,10.389,10.407,11.309,8.9423,9.139,10.015,9.6677,9.1121,10.619,9.2354,10.909,9.0332,11.584,10.692,9.2494,8.8864,7.7367,6.6128,11.447,11.743,11.368,9.2281,9.597,10.521,10.671,8.5016,10.856,10.186,7.7983,10.98,9.2758,10.324,9.9605
6.7163,10.291,9.6075,8.4161,8.8553,12.196,9.144,9.923,8.5273,8.3232,8.7612,5.7247,10.553,9.9971,9.9186,10.613,8.1764,8.0878,9.404,9.112,8.6913,9.3937,7.8022,10.064,8.0343,10.977,10.218,8.1337,8.4451,7.351,6.2265,10.743,10.761,9.7993,8.1335,8.6304,8.8182,10.589,7.95,9.0233,9.6847,7.6237,11.695,9.1807,9.8829,9.8032
6.8077,9.8843,9.2718,8.5084,8.7228,11.778,8.8863,9.5381,8.334,8.3494,8.5025,5.9019,10.222,9.7987,9.7052,10.255,8.2697,7.8378,9.1432,8.9228,8.6165,9.3654,7.7839,9.6088,8.0867,10.782,9.9163,8.0659,8.2653,7.6445,6.5637,10.673,10.362,9.5,8.0591,8.6911,8.9016,10.374,7.9867,8.9784,9.4688,7.7809,11.641,9.1763,9.5047,10.031
6.8579,9.9017,9.0779,8.5731,8.7347,11.773,8.8776,9.6476,8.163,8.3357,8.3438,5.7609,10.175,9.5311,9.7248,10.304,8.3141,7.8594,8.9321,8.6833,8.6612,9.3035,7.7576,9.4726,8.1412,10.599,9.7493,7.9397,8.3943,7.2937,6.3329,10.132,10.611,9.591,8.0082,8.7066,8.8195,10.142,7.7242,8.8471,9.2724,7.6768,11.446,9.1405,9.3955,9.8739
7.0302,10.845,9.8725,8.7764,9.3186,12.68,9.8581,10.481,8.8151,8.8039,9.3751,5.6542,10.876,10.524,10.21,10.949,8.3027,8.2877,9.5131,9.4787,8.8683,9.7861,8.2568,10.511,8.4862,11.436,10.331,8.5466,8.4858,7.6723,6.3781,11.163,11.046,10.277,8.5377,9.1002,9.2704,10.757,8.2575,9.5958,10.034,7.6891,11.313,9.423,10.306,9.8717
6.6641,7.9643,8.0986,8.8885,7.5956,8.316,7.3075,7.7662,7.0754,7.1401,6.9026,5.7142,8.4627,6.8022,8.447,8.3247,8.133,6.9785,8.2334,7.8688,8.0832,8.2524,7.0391,7.5933,7.4351,8.5371,8.0653,6.7743,7.897,7.2749,5.9539,9.3407,7.9524,7.1782,7.1257,7.8079,7.8803,7.5828,6.8728,7.2062,7.9871,7.7237,11.695,7.5889,6.9784,9.6112
6.7421,7.8302,8.1556,8.9442,7.5182,8.3103,7.2008,7.4912,6.989,7.0524,6.855,5.629,8.4568,6.7885,8.35,8.117,7.966,6.8117,8.0966,7.5903,8.003,8.2005,6.8067,7.3205,7.3495,8.3814,8.007,6.7068,7.7011,7.3371,5.8285,9.1182,7.7175,6.976,6.9976,7.6009,7.5464,7.4398,6.663,7.0377,7.7966,7.836,12.043,7.5565,6.7995,9.855
6.5217,7.8654,8.0623,8.5974,7.5646,8.1459,7.2415,7.3888,7.035,6.9497,6.8811,5.6497,8.357,6.7851,8.2784,8.1179,7.9217,6.7909,8.0212,7.7082,7.9791,8.1692,6.8366,7.4019,7.319,8.3959,7.9041,6.6774,7.8626,7.1787,5.8826,9.2159,7.8805,6.8899,6.9336,7.5548,7.7558,7.3266,6.7861,7.1057,7.7901,7.7949,12.116,7.5248,6.7438,9.7926
6.5597,7.882,7.7741,8.5697,7.425,8.1128,7.1231,7.4407,6.9533,7.207,6.7624,5.6488,8.3597,6.6021,8.2612,8.3876,7.8193,6.9328,8.124,7.7581,7.9929,8.1855,6.8903,7.4229,7.3735,8.3554,8.0558,6.7614,7.7687,7.04,5.8598,9.2628,8.1638,7.2385,6.9589,7.5365,7.803,7.7284,6.8519,7.194,7.9653,7.15,11.599,7.9288,6.7441,9.9487
